Text,Subjectivity,Polarity,Analysis
Elon Musk is now he riches person in he world      DVbdra0f43,0.0,0.0,Neutral
  Elon Musk  he ouspoken enrepreneur behind Tesla and SpaceX  is now he riches person on he plane      Z5Nu1kuWx2,0.7,-0.4,Negative
Elon Musk beming he riches person on he plane  as well as any oher planes SpaceX has ime o drop him off on,0.0,0.0,Neutral
  No  Elon Musk is no he riches person in he world ye      1HuVm3iHXO by       9MunzHaSjb,0.0,0.0,Neutral
  Elon Musk is now he riches person in he world   Sep 1  Build hings ha people love  Sep 2  Profi ,0.6,0.5,Positive
   TESLA CEO ELON MUSK IS NOW THE RICHEST PERSON IN THE WORLD  PASSING JEFF BEZOS      nCCKOybp2R,0.0,0.0,Neutral
     yPVy7xAVQL CONGRATS   MR  ELON,0.0,0.0,Neutral
squirrel   elon musk has jus beme he riches person in he world  here s a reminder ha he is a n man who splays as a self made billionaire brain genius even hough he s he son of an aparheid souh african emerald mine owner who go his wealh by sucking on he sae s ea      Ydq1YjLjDH,0.0,0.0,Neutral
  BREAKING  Elon Musk has beme he world s riches person  officially making Jeff Bezos s ne worh suborbial   jus like his rockes       nI3SQiQeu,0.0,0.0,Neutral
  Elon Musk has edged pas Amazon founder Jeff Bezos o grab he ile of world s riches person  acrding o Bloomberg       kpJ1IjBHOC,0.0,0.0,Neutral
  Souh Africa s very own Elon Musk is now he riches person in he world  The Preoria raised enrepreneur has overaken Amazon boss Jeff Bezos  eNCA      5a7YvCPaMD,1.0,0.78,Positive
  Elon Musk has edged pas Amazon founder Jeff Bezos o grab he ile of world s riches person  acrding o Bloomberg       kpJ1IjBHOC,0.0,0.0,Neutral
  Elon Musk has overaken Amazon founder Jeff Bezos as he world s riches person  wih a ne worh oaling around  181 billion as of he marke close on Wednesday      I3vx4nSrLX,0.0,0.0,Neutral
  Elon Musk s reacion o him being he riches person in he world      QD0zTaPQNm,0.0,0.0,Neutral
squirrel   elon musk has jus beme he riches person in he world  here s a reminder ha he is a n man who splays as a self made billionaire brain genius even hough he s he son of an aparheid souh african emerald mine owner who go his wealh by sucking on he sae s ea      Ydq1YjLjDH,0.0,0.0,Neutral
  No  Elon Musk is no he riches person in he world ye      1HuVm3iHXO by       9MunzHaSjb,0.0,0.0,Neutral
squirrel   elon musk has jus beme he riches person in he world  here s a reminder ha he is a n man who splays as a self made billionaire brain genius even hough he s he son of an aparheid souh african emerald mine owner who go his wealh by sucking on he sae s ea      Ydq1YjLjDH,0.0,0.0,Neutral
Elon Musk likely surpasses Jeff Bezos o beme world s riches person      BDXHNe6AWw,1.0,0.0,Neutral
  No bad for a lile boykie from Fourways Souh Africa  Elon Musk is now he riches person on he plane  surpassing Jeff Bezos wih a ne worh of  188 5 billion      Ja51WOWBT via ,0.6666666666666666,0.3499999999999999,Positive
Elon Musk bemes he world s riches person surpassing Jeff Bezos Uncaegorized      7TDZXqwiiC,0.0,0.0,Neutral
Elon Musk bemes he world s riches person surpassing Jeff Bezos Uncaegorized      EdPHrCDrTN,0.0,0.0,Neutral
Elon Musk Surpasses Amazon s Bezos as he World s Riches Person  Bloomberg repors ha he Tesla presiden s ne worh grew o more han   188 5 billion  abou  1 5 billion more han Bezos        rJUwEczC8b      aYFyXQYWE,0.5,0.5,Positive
Elon Musk Surpasses Amazon s Bezos as he World s Riches Person      3lZsTucJhA      4iyyBRWaFu,0.0,0.0,Neutral
  No  Elon Musk is no he riches person in he world ye      1HuVm3iHXO by       9MunzHaSjb,0.0,0.0,Neutral
  Elon Musk overook Jeff Bezos as he world s riches person  repors    Musk had made a leas  68 billion during he pandemic  Meanwhile  las year    There were 2 3 million layoffs   1 in 8 homes did no have enough o ea   19 5 million on jobless aid in mid Dec      OTYO2BTys,0.25,0.0,Neutral
  Elon Musk now officially he riches person in he world  passing Jeff Bezos   More       FXfefHUGqY      QhqxjoCda6,0.5,0.5,Positive
  Elon Musk s reacion o him being he riches person in he world      QD0zTaPQNm,0.0,0.0,Neutral
  Elon Musk passes Jeff Bezos o beme he riches person on Earh      yHilp5FHf      7JDPbZMnvA,0.0,0.0,Neutral
CNN is a lonial pro Zionis media  Therefore  i is always biased  pro Democraic   praises he snouy  nose imperialis billionaires  suppors he illigiimae murderous Zionis regime of Israel amp ani poor media       Y3kJLaQhZr,0.6,-0.4,Negative
  Elon Musk overakes Bezos o beme world s riches person      z8vv3WAslb      IEmBdV8R0o,0.0,0.0,Neutral
  Elon Musk has edged pas Amazon founder Jeff Bezos o grab he ile of world s riches person  acrding o Bloomberg       kpJ1IjBHOC,0.0,0.0,Neutral
  Elon Musk is now he riches person in he world   Sep 1  Build hings ha people love  Sep 2  Profi ,0.6,0.5,Positive
people geing happy ha elon musk is he riches person in he world like he will be sharing i wih hem,1.0,0.8,Positive
  Elon Musk passes Jeff Bezos o beme world s riches person      103EyEkyp8      WHgqZsWrO,0.0,0.0,Neutral
  Breaking  Elon Musk jus became he riches person in he world   His ne worh is now  188 5 billion  surpassing ha of Jeff Bezos   In he pas year  Musk s forune has risen by  160 billion       poCjypj4Ss,0.0,0.0,Neutral
  Breaking  Elon Musk jus became he riches person in he world   His ne worh is now  188 5 billion  surpassing ha of Jeff Bezos   In he pas year  Musk s forune has risen by  160 billion       poCjypj4Ss,0.0,0.0,Neutral
  Elon Musk  now he riches person in he world  has made millionaires ou of Tesla s mos loyal fans  Mee one of hem      ROalpijR4Q      FlPlv54nxS,0.8333333333333334,0.3333333333333333,Positive
  Elon Musk  he ouspoken enrepreneur behind Tesla and SpaceX  is now he riches person on he plane      Z5Nu1kuWx2,0.7,-0.4,Negative
  Elon Musk  now he riches person in he world  has made millionaires ou of Tesla s mos loyal fans  Mee one of hem      ROalpijR4Q      FlPlv54nxS,0.8333333333333334,0.3333333333333333,Positive
  Tesla and SpaceX owner Elon Musk replaced Jeff Bezos as he world s riches person  worh  185bn      waabTOfqn,0.0,0.0,Neutral
  Elon Musk now officially he riches person in he world  passing Jeff Bezos   More       FXfefHUGqY      QhqxjoCda6,0.5,0.5,Positive
BBC News   Elon Musk bemes world s riches person as wealh ops  185bn      2Eei0IgL4,0.0,0.0,Neutral
squirrel   elon musk has jus beme he riches person in he world  here s a reminder ha he is a n man who splays as a self made billionaire brain genius even hough he s he son of an aparheid souh african emerald mine owner who go his wealh by sucking on he sae s ea      Ydq1YjLjDH,0.0,0.0,Neutral
  NEW  Elon Musk overakes Jeff Bezos as riches person in he world,0.45454545454545453,0.13636363636363635,Positive
Es anecdói pero ambién una señal de los iempos de cambio que vivimos  Elon Musk ha superado hoy a Bezos mo la persona más rica del mundo  Coches elécris y hees espaciales frene al mercio elecróni        9dafzLJEad,0.0,0.0,Neutral
squirrel   elon musk has jus beme he riches person in he world  here s a reminder ha he is a n man who splays as a self made billionaire brain genius even hough he s he son of an aparheid souh african emerald mine owner who go his wealh by sucking on he sae s ea      Ydq1YjLjDH,0.0,0.0,Neutral
